Journal,xml_file_name,article_title,epub_Date,RRID mentions,RRID Count
ACS_Chem_Neurosci,PMC7645872.nxml,"Western Diet Accelerates the Impairment of Odor-Related
Learning and Olfactory Memory in the Mouse",15-10-2020,"[' AB_305426', ' AB_10711153', ' AB_10610966', ' AB_2747772', ' AB_628268', ' AB_1658451']",6
ACS_Pharmacol_Transl_Sci,PMC7553038.nxml,"Development of a High-Throughput Homogeneous AlphaLISA Drug Screening Assay
for the Detection of SARS-CoV-2 Nucleocapsid",10-09-2020,['RRID:CVCL_0574'],1
ACS_Nano,PMC7199215.nxml,"Endocytosis
of Extracellular Vesicles and Release
of Their Cargo from Endosomes",13-04-2020,"['Addgene_17398', 'Addgene_17452', 'Addgene_1817', 'Addgene_62734']",4
ACS_Nano,PMC7482579.nxml,"Quantum
Dot-Conjugated SARS-CoV-2 Spike Pseudo-Virions
Enable Tracking of Angiotensin Converting Enzyme 2 Binding and Endocytosis",26-08-2020,['RRID:AB_2633275'],1
ACS_Omega,PMC6045390.nxml,"Small-Molecule Ligands as Potential GDNF Family Receptor
Agonists",25-01-2018,"['RRID:AB_631316', 'RRID:AB_309678']",2
ACS_Omega,PMC6811856.nxml,"CRISPR-Cas12a Nucleases Bind Flexible DNA Duplexes
without RNA/DNA Complementarity",10-09-2019,['RRID: Addgene_90096'],1
AMRC_Open_Res,PMC6786895.nxml,"Pentraxin 3 regulates neutrophil infiltration to the brain during
neuroinflammation",29-5-2019,[' AB_2535792'],1
APL_Bioeng,PMC7481009.nxml,Combined gas embolization and chemotherapy can result in complete tumor regression in a murine hepatocellular carcinoma model,09-08-2020,['RRID:CVCL_0326'],1
ASN_Neuro,PMC6585245.nxml,Alterations of Calcium Channels in a Mouse Model of Huntington’s Disease and Neuroprotection by Blockage of CaV1 Channels,19-6-2019,"['RRID:AB_476697', 'RRID:AB_476697', 'RRID:AB_10807024', 'RRID:AB_10807024', 'RRID:AB_2039775', 'RRID:AB_2039775']",6
ASN_Neuro,PMC7263115.nxml,Early Cognitive Impairment Behind Nigrostriatal Circuit Neurotoxicity: Are Astrocytes Involved?,28-5-2020,"['RRID:AB_390204', 'RRID:AB_390204', 'RRID:AB_477035', 'RRID:AB_10900200', 'RRID:AB_228340']",5
ASN_Neuro,PMC5944142.nxml,Methylglyoxal Disrupts Paranodal Axoglial Junctions via Calpain Activation,20-4-2018,"['RRID:IMSR_JAX:000664', 'RRID:AB_10673030', 'RRID:AB_2296313', 'RRID:AB_477552', 'RRID:AB_2533147', 'RRID:AB_783303', 'RRID: AB_399853', 'RRID:AB_869934', 'RRID:AB_2315634', 'RRID:AB_10890736']",10
