Journal,xml_file_name,article_title,epub_Date,RRID mentions,RRID Count
ASN_Neuro,PMC7273561.nxml,"Proneurotrophins Induce Apoptotic Neuronal Death After
Controlled Cortical Impact Injury in Adult Mice",3-6-2020,"['RRID:SCR_015961', 'RRID:SCR_015961', 'RRID:SCR_015961', 'RRID:SCR_015961']",4
ASN_Neuro,PMC6535906.nxml,"Higher Level of Mismatch in APOE
ε4 Carriers for Amyloid-Beta Peptide Alzheimer’s Disease Biomarkers in Cerebrospinal Fluid",19-5-2019,"['RRID:SCR_002798', 'RRID:SCR_002798']",2
ASN_Neuro,PMC7495938.nxml,Tropomyosin Receptor Kinase B Expressed in Oligodendrocyte Lineage Cells Functions to Promote Myelin Following a Demyelinating Lesion,14-9-2020,"['RRID:SCR_014280', 'RRID:SCR_014280', 'RRID:SCR_003070', 'RRID:SCR_003070', 'RRID:SCR_002798', 'RRID:SCR_002798', 'RRID:SCR_002798', 'RRID:SCR_002798']",8
ASN_Neuro,PMC6475859.nxml,"Global Brain Transcriptome Analysis of a Tpp1
Neuronal Ceroid Lipofuscinoses Mouse Model",19-4-2019,"['RRID:SCR_014597', 'RRID:SCR_014597', 'RRID:SCR_009803', 'RRID:SCR_009803', 'RRID:SCR_014597', 'RRID:SCR_014597', 'RRID:SCR_012802', 'RRID:SCR_012802', 'RRID:SCR_015687', 'RRID:SCR_015687', 'RRID:SCR_010943', 'RRID:SCR_010943', 'RRID:SCR_002811', 'RRID:SCR_002811', 'RRID:SCR_012773', 'RRID:SCR_012773', 'RRID:SCR_008653', 'RRID:SCR_008653', 'RRID:SCR_016884', 'RRID:SCR_016884', 'RRID:SCR_014424', 'RRID:SCR_014424', 'RRID:SCR_003070', 'RRID:SCR_003070', 'RRID:SCR_003095', 'RRID:SCR_003095']",26
ASN_Neuro,PMC6498775.nxml,Heme Oxygenase 1 in Schwann Cells Regulates Peripheral Nerve Degeneration Against Oxidative Stress,02-5-2019,"['RRID:SCR_013672', 'RRID:SCR_013672', 'RRID:SCR_014299', 'RRID:SCR_014299', 'RRID:SCR_002865', 'RRID:SCR_002865']",6
ASN_Neuro,PMC6295693.nxml,"Upregulated SK2 Expression and Impaired CaMKII Phosphorylation Are
Shared Synaptic Defects Between 16p11.2del and 129S:Δdisc1
Mutant Mice",14-12-2018,"['RRID:SCR_000012', 'RRID:SCR_001818', 'RRID:SCR_014329', 'RRID:SCR_014329', 'RRID:SCR_002798', 'RRID:SCR_002798']",6
ASN_Neuro,PMC6238202.nxml,Neuroprotective Effect of Nortriptyline in Overt Hepatic Encephalopathy Through Attenuation of Mitochondrial Dysfunction,14-11-2018,"['RRID:SCR_000441', 'RRID:SCR_000441', 'RRID:SCR_002865', 'RRID:SCR_002865']",4
Acta_Neurochir_(Wien),PMC7295836.nxml,"Functional outcome, in-hospital healthcare consumption and in-hospital costs for hospitalised traumatic brain injury patients: a Dutch prospective multicentre study",14-5-2020,"['RRID: SCR_015582', 'RRID: SCR_01700']",2
Acta_Neuropathol,PMC6208731.nxml,Opposite development of short- and long-range anterior cingulate pathways in autism,6-9-2018,['RRID: SCR_014213'],1
Acta_Neuropathol_Commun,PMC7318465.nxml,RBM45 associates with nuclear stress bodies and forms nuclear inclusions during chronic cellular stress and in neurodegenerative diseases,26-6-2020,"['RRID:SCR_014237', 'RRID:SCR_003070', 'RRID:SCR_016137', 'SCR_001905', 'RRID:SCR_010279', 'RRID:SCR_014479']",6
Acta_Neuropathol_Commun,PMC6396567.nxml,Altered myogenesis and premature senescence underlie human TRIM32-related myopathy,1-3-2019,"['RRID:SCR_003070', 'RRID: SCR_002798']",2
Acta_Neuropathol_Commun,PMC7285785.nxml,Transplantation of induced neural stem cells (iNSCs) into chronically demyelinated corpus callosum ameliorates motor deficits,9-6-2020,"['RRID: SCR_002798', 'RRID:SCR_002368', 'RRID:SCR_003070', 'RRID:SCR_014796', 'RRID: SCR_014313', 'RRID:SCR_017377', 'RRID:SCR_013672']",7
Acta_Neuropathol_Commun,PMC7063795.nxml,Epigenetic modulation of AREL1 and increased HLA expression in brains of multiple system atrophy patients,9-3-2020,"['RRID:SCR_015820', 'RRID:SCR_016152']",2
Acta_Pharm_Sin_B,PMC7332810.nxml,TIMP1 preserves the blood–brain barrier through interacting with CD63/integrin β1 complex and regulating downstream FAK/RhoA signaling,05-3-2020,"['SCR_000306', 'SCR_000306']",2
Acta_Pharm_Sin_B,PMC7016290.nxml,Whole-genome sequencing and analysis of the Chinese herbal plant Gelsemium elegans,16-8-2019,"['SCR_016962', 'SCR_016962', 'SCR_005476', 'SCR_005476']",4
Aging_(Albany_NY),PMC6834410.nxml,"Narrative impairment, white matter damage and CSF biomarkers in the Alzheimer’s disease spectrum",31-10-2019,"['RRID:SCR_002823', 'RRID:SCR_014586', 'RRID:SCR_002865']",3
Aging_(Albany_NY),PMC7053615.nxml,Autocrine CXCL8-dependent invasiveness triggers modulation of actin cytoskeletal network and cell dynamics,27-1-2020,['RRID: SCR_002798'],1
Aging_(Albany_NY),PMC6914438.nxml,Identification of functional tRNA-derived fragments in senescence-accelerated mouse prone 8 brain,20-11-2019,['RRID: SCR_014983'],1
Alzheimers_Dement_(N_Y),PMC6300614.nxml,The Age-Well observational study on expert meditators in the Medit-Ageing European project,18-12-2018,['RRID:SCR_009550'],1
Alzheimers_Dement_(Amst),PMC7233421.nxml,Down syndrome: Distribution of brain amyloid in mild cognitive impairment,17-4-2020,"['RRID:SCR_001847', 'RRID:SCR_004757', 'RRID:SCR_007037', 'RRID:SCR_001905']",4
Alzheimers_Dement_(Amst),PMC7656170.nxml,Brain amyloid and the transition to dementia in Down syndrome,11-11-2020,"['RRID:SCR_001847', 'RRID:SCR_001905']",2
Am_J_Physiol_Renal_Physiol,PMC7242633.nxml,Reduced O-GlcNAcylation and tubular hypoxia contribute to the antifibrotic effect of SGLT2 inhibitor dapagliflozin in the diabetic kidney,2-3-2020,"['RRID:SCR_003070', 'RRID:SCR_01428']",2
Animals_(Basel),PMC7022564.nxml,Expression Changes of MHC and Other Immune Genes in Frog Skin during Ontogeny,06-1-2020,['RRID:SCR_003280'],1
Ann_Med_Surg_(Lond),PMC7490447.nxml,"Laparoscopic procedures impact on mast cell mediators, extracellular matrix and adhesion scoring system in rats",02-9-2020,"['SCR_003070', 'SCR_003070']",2
Appl_Environ_Microbiol,PMC7117936.nxml,Identification of Genes Required for Glucan Exopolysaccharide Production in Lactobacillus johnsonii Suggests a Novel Biosynthesis Mechanism,1-4-2020,"['SCR_014485', 'SCR_014485', 'SCR_015753', 'SCR_015753', 'SCR_004608', 'SCR_004608', 'SCR_001010', 'SCR_001010', 'SCR_014606', 'SCR_014606', 'SCR_002909', 'SCR_002909', 'SCR_014265', 'SCR_014265', 'SCR_010519', 'SCR_010519', 'SCR_012852', 'SCR_012852']",18
Arch_Toxicol,PMC7415754.nxml,The mycotoxin deoxynivalenol activates GABAergic neurons in the reward system and inhibits feeding and maternal behaviours,29-5-2020,['RRID:SCR_003070'],1
Asian-Australas_J_Anim_Sci,PMC7206397.nxml,Genomic analysis reveals selection signatures of the Wannan Black pig during domestication and breeding,23-8-2019,['RRID: SCR_001757'],1
Asian-Australas_J_Anim_Sci,PMC7206397.nxml,Genomic analysis reveals selection signatures of the Wannan Black pig during domestication and breeding,23-8-2019,['RRID: SCR_001757'],1
BMC_Fam_Pract,PMC4254388.nxml,Prostate-specific antigen (PSA) screening and follow-up investigations in Māori and non-Māori men in New Zealand,26-8-2014,"['SCR_5250', 'SCR_5250']",2
BMC_Biol,PMC5670698.nxml,Optical inhibition of larval zebrafish behaviour with anion channelrhodopsins,3-11-2017,['RRID:SCR_002285'],1
BMC_Biol,PMC5745965.nxml,Memory retrieval in addiction: a role for miR-105-mediated regulation of D1 receptors in mPFC neurons projecting to the basolateral amygdala,27-12-2017,"['SCR_003070', 'SCR_010845', 'SCR_010838', 'SCR_003343', ' SCR_000034', ' SCR_000034', ' SCR_003210']",7
BMC_Biol,PMC5492891.nxml,Mov10 suppresses retroelements and regulates neuronal development and function in the developing brain,29-6-2017,"['RRID: SCR_013035', 'RRID: SCR_014818', 'RRID: SCR_006810', 'RRID: SCR_003496', 'RRID: SCR_011848', 'RRID: SCR_014818', 'RRID: SCR_002105', 'RRID: SCR_006646', 'RRID:SCR_001881', ' SCR_001647', ' SCR_014568', ' SCR_001881', ' SCR_003032', 'RRID: SCR_006442', 'RRID: SCR_001905']",15
BMC_Biol,PMC7392683.nxml,Genetic background mutations drive neural circuit hyperconnectivity in a fragile X syndrome model,30-7-2020,"['RRID:SCR_002285', 'RRID:SCR_002798']",2
BMC_Biol,PMC5670518.nxml,Characterization of a thalamic nucleus mediating habenula responses to changes in ambient illumination,31-10-2017,['RRID:SCR_002285'],1
BMC_Complement_Altern_Med,PMC6373088.nxml,Multi-targeting chemoprevention of Chinese herb formula Yanghe Huayan decoction on experimentally induced mammary tumorigenesis,13-2-2019,"['RRID: SCR_008653', 'RRID: SCR_008117']",2
BMC_Cancer,PMC6988291.nxml,Key genes with prognostic values in suppression of osteosarcoma metastasis using comprehensive analysis,28-1-2020,"['RRID: SCR_005012', 'RRID: SCR_005223', 'RRID: SCR_001881', 'RRID: SCR_005736', 'RRID: SCR_003032', 'RRID: SCR_005709', 'RRID: SCR_000796']",7
BMC_Cancer,PMC7542386.nxml,NFAT2 overexpression suppresses the malignancy of hepatocellular carcinoma through inducing Egr2 expression,6-10-2020,"['RRID:SCR_008520', 'RRID:SCR_002865']",2
BMC_Genomics,PMC7430912.nxml,Comparative gene expression profiling between optic nerve and spinal cord injury in Xenopus laevis reveals a core set of genes inherent in successful regeneration of vertebrate central nervous system axons,5-8-2020,"['RRID:SCR_003280', 'RRID:SCR_003280', 'RRID:SCR_013731', 'RRID:SCR_003280']",4
BMC_Genomics,PMC6902594.nxml,"Genomic insights into mite phylogeny, fitness, development, and reproduction",9-12-2019,"['RRID:SCR_015008', 'RRID:SCR_015008']",2
BMC_Genomics,PMC6215681.nxml,Transcriptome analysis of Xenopus orofacial tissues deficient in retinoic acid receptor function,3-11-2018,['RRID:SCR_003280'],1
BMC_Genomics,PMC6836512.nxml,The role of nitric oxide during embryonic wound healing,6-11-2019,['RRID:SCR_003280'],1
BMC_Genomics,PMC5383966.nxml,Transcriptomic buffering of cryptic genetic variation contributes to meningococcal virulence,7-4-2017,[' SCR_002200'],1
BMC_Genomics,PMC5778671.nxml,The invasive MED/Q Bemisia tabaci genome: a tale of gene loss and gene gain,22-1-2018,"['RRID:SCR_011812', 'RRID:SCR_014629', 'RRID:SCR_014932', 'RRID:SCR_014932']",4
BMC_Genomics,PMC4746824.nxml,The effector candidate repertoire of the arbuscular mycorrhizal fungus Rhizophagus clarus,9-2-2016,"['SCR_9486', 'SCR_348911', 'SCR_343180', 'SCR_339199', 'SCR_94594', ' SCR_348911', ' SCR_348911', ' SCR_343180', ' SCR_343180', ' SCR_94594', ' SCR_339199']",11
BMC_Genomics,PMC7430813.nxml,Comparative genomic analysis of eutherian fibroblast growth factor genes,5-8-2020,"['RRID:SCR_014401', 'RRID:SCR_014401']",2
BMC_Genomics,PMC6006668.nxml,"Motifome comparison between modern human, Neanderthal and Denisovan",18-6-2018,"['SCR_012954', 'SCR_002485', 'SCR_005780', 'SCR_003152', 'SCR_003030', 'SCR_002380', 'SCR_004869']",7
